K_N,Q_N,avg_ms,batch_size,error,head_dim,kernel,min_ms,num_heads,peak_allocated_delta_mb,peak_allocated_mb,peak_reserved_mb,std_ms,tier
2048,2048,7.5413,4,,64,scaled_dot_prod_attention,7.2252,12,1537.12,1581.25,1690.0,0.6815,XS-seq2048-hd64-12h-4b
4096,4096,30.1449,4,,64,scaled_dot_prod_attention,29.0886,12,6146.25,6226.38,6262.0,1.8854,XS-seq4096-hd64-12h-4b
8192,8192,0,4,"OutOfMemoryError: CUDA out of memory. Tried to allocate 6.00 GiB. GPU 0 has a total capacity of 23.56 GiB of which 5.07 GiB is free. Process 2162459 has 18.47 GiB memory in use. Of the allocated memory 18.15 GiB is allocated by PyTorch, and 9.38 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
Traceback (most recent call last):
  File ""/workspace/LLM-system-project/cs336_systems/experiments/benchmark_attention_sweep.py"", line 508, in main
    row = bench_one(kernel_name, kernel_fn, label, q_n, k_n, hd, nh, bs,
          ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/workspace/LLM-system-project/cs336_systems/experiments/benchmark_attention_sweep.py"", line 118, in bench_one
    _ = kernel_fn(q, k, v, is_causal)
        ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/.uv/python_install/cpython-3.12.0-linux-x86_64-gnu/lib/python3.12/contextlib.py"", line 81, in inner
    return func(*args, **kwds)
           ^^^^^^^^^^^^^^^^^^^
  File ""/workspace/LLM-system-project/cs336-basics/cs336_basics/transfromer/scaled_dot_prod_attention.py"", line 55, in scaled_dot_product_attention
    softmax_qk = softmax(norm_qk, axis=-1)
                 ^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/workspace/LLM-system-project/cs336-basics/cs336_basics/transfromer/scaled_dot_prod_attention.py"", line 23, in softmax
    softmax_output = exp_x / sum_exp
                     ~~~~~~^~~~~~~~~
torch.OutOfMemoryError: CUDA out of memory. Tried to allocate 6.00 GiB. GPU 0 has a total capacity of 23.56 GiB of which 5.07 GiB is free. Process 2162459 has 18.47 GiB memory in use. Of the allocated memory 18.15 GiB is allocated by PyTorch, and 9.38 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
",64,scaled_dot_prod_attention,0,12,,,,0,XS-seq8192-hd64-12h-4b
16384,16384,0,4,"OutOfMemoryError: CUDA out of memory. Tried to allocate 24.00 GiB. GPU 0 has a total capacity of 23.56 GiB of which 17.12 GiB is free. Process 2162459 has 6.42 GiB memory in use. Of the allocated memory 296.12 MiB is allocated by PyTorch, and 5.82 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
Traceback (most recent call last):
  File ""/workspace/LLM-system-project/cs336_systems/experiments/benchmark_attention_sweep.py"", line 508, in main
    row = bench_one(kernel_name, kernel_fn, label, q_n, k_n, hd, nh, bs,
          ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/workspace/LLM-system-project/cs336_systems/experiments/benchmark_attention_sweep.py"", line 118, in bench_one
    _ = kernel_fn(q, k, v, is_causal)
        ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/.uv/python_install/cpython-3.12.0-linux-x86_64-gnu/lib/python3.12/contextlib.py"", line 81, in inner
    return func(*args, **kwds)
           ^^^^^^^^^^^^^^^^^^^
  File ""/workspace/LLM-system-project/cs336-basics/cs336_basics/transfromer/scaled_dot_prod_attention.py"", line 44, in scaled_dot_product_attention
    norm_qk = einsum(key, query, ""... seq_k d_k, ... seq_q d_k -> ... seq_q seq_k"") / torch.sqrt(torch.tensor(key.shape[-1], device=query.device))
              ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/workspace/LLM-system-project/.venv/lib/python3.12/site-packages/einops/einops.py"", line 916, in einsum
    return get_backend(tensors[0]).einsum(pattern, *tensors)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/workspace/LLM-system-project/.venv/lib/python3.12/site-packages/einops/_backends.py"", line 288, in einsum
    return self.torch.einsum(pattern, *x)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/workspace/LLM-system-project/.venv/lib/python3.12/site-packages/torch/functional.py"", line 407, in einsum
    return _VF.einsum(equation, operands)  # type: ignore[attr-defined]
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
torch.OutOfMemoryError: CUDA out of memory. Tried to allocate 24.00 GiB. GPU 0 has a total capacity of 23.56 GiB of which 17.12 GiB is free. Process 2162459 has 6.42 GiB memory in use. Of the allocated memory 296.12 MiB is allocated by PyTorch, and 5.82 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
",64,scaled_dot_prod_attention,0,12,,,,0,XS-seq16384-hd64-12h-4b
2048,2048,7.5143,4,,64,vectorized_torch,7.2702,12,1152.19,1196.31,6262.0,0.7557,XS-seq2048-hd64-12h-4b
4096,4096,29.56,4,,64,vectorized_torch,28.7512,12,4608.38,4688.5,4726.0,1.8576,XS-seq4096-hd64-12h-4b
8192,8192,122.6342,4,,64,vectorized_torch,121.0075,12,18432.75,18584.88,18598.0,0.8405,XS-seq8192-hd64-12h-4b
16384,16384,0,4,"OutOfMemoryError: CUDA out of memory. Tried to allocate 24.00 GiB. GPU 0 has a total capacity of 23.56 GiB of which 17.21 GiB is free. Process 2162459 has 6.33 GiB memory in use. Of the allocated memory 296.12 MiB is allocated by PyTorch, and 5.73 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
Traceback (most recent call last):
  File ""/workspace/LLM-system-project/cs336_systems/experiments/benchmark_attention_sweep.py"", line 508, in main
    row = bench_one(kernel_name, kernel_fn, label, q_n, k_n, hd, nh, bs,
          ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/workspace/LLM-system-project/cs336_systems/experiments/benchmark_attention_sweep.py"", line 118, in bench_one
    _ = kernel_fn(q, k, v, is_causal)
        ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/.uv/python_install/cpython-3.12.0-linux-x86_64-gnu/lib/python3.12/contextlib.py"", line 81, in inner
    return func(*args, **kwds)
           ^^^^^^^^^^^^^^^^^^^
  File ""/workspace/LLM-system-project/cs336-basics/cs336_basics/transfromer/scaled_dot_prod_attention.py"", line 71, in vectorized_attention_torch
    return vectorized_attn_torch_fn(query, key, value, is_causal)  # Positional args only
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/workspace/LLM-system-project/cs336_systems/FlashAttention/flash_attention_torch_vectorized.py"", line 78, in _vectorized_attn_torch_apply
    return VectorizedAttentionTorchFunction.apply(Q, K, V, is_causal)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/workspace/LLM-system-project/.venv/lib/python3.12/site-packages/torch/autograd/function.py"", line 575, in apply
    return super().apply(*args, **kwargs)  # type: ignore[misc]
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/workspace/LLM-system-project/cs336_systems/FlashAttention/flash_attention_torch_vectorized.py"", line 43, in forward
    O, L = flash_attention_torch_fwd_vectorized(Q, K, V, is_causal=is_causal)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/workspace/LLM-system-project/cs336_systems/FlashAttention/flash_attention_torch_vectorized.py"", line 28, in flash_attention_torch_fwd_vectorized
    scores = torch.matmul(Q, K.transpose(-2, -1)) / math.sqrt(d)
             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
torch.OutOfMemoryError: CUDA out of memory. Tried to allocate 24.00 GiB. GPU 0 has a total capacity of 23.56 GiB of which 17.21 GiB is free. Process 2162459 has 6.33 GiB memory in use. Of the allocated memory 296.12 MiB is allocated by PyTorch, and 5.73 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
",64,vectorized_torch,0,12,,,,0,XS-seq16384-hd64-12h-4b
2048,2048,2.5804,4,,64,vectorized_torch_compiled,2.4765,12,396.0,440.12,6166.0,0.2551,XS-seq2048-hd64-12h-4b
4096,4096,11.8158,4,,64,vectorized_torch_compiled,11.0539,12,1560.0,1640.12,6166.0,1.3128,XS-seq4096-hd64-12h-4b
