M,N,K,Triton,Torch
256.000000,256.000000,256.000000,31.999999,32.167539
384.000000,384.000000,384.000000,66.461539,78.545454
512.000000,512.000000,512.000000,90.352940,109.714284
640.000000,640.000000,640.000000,120.000003,133.333329
768.000000,768.000000,768.000000,119.172411,149.650883
896.000000,896.000000,896.000000,127.135130,156.800004
1024.000000,1024.000000,1024.000000,107.789472,100.721313
1152.000000,1152.000000,1152.000000,105.081077,111.085711
1280.000000,1280.000000,1280.000000,106.666665,131.506844
1408.000000,1408.000000,1408.000000,99.282049,81.802814
1536.000000,1536.000000,1536.000000,91.853814,89.766237
1664.000000,1664.000000,1664.000000,98.926831,105.350654
1792.000000,1792.000000,1792.000000,87.516282,93.611939
1920.000000,1920.000000,1920.000000,89.626555,94.323145
2048.000000,2048.000000,2048.000000,79.022505,85.333330
2176.000000,2176.000000,2176.000000,81.961591,88.923080
2304.000000,2304.000000,2304.000000,74.589928,79.958870
2432.000000,2432.000000,2432.000000,67.032885,71.975078
2560.000000,2560.000000,2560.000000,67.250440,72.316381
2688.000000,2688.000000,2688.000000,62.813055,76.834845
2816.000000,2816.000000,2816.000000,58.298619,61.869506
2944.000000,2944.000000,2944.000000,54.547799,56.052982
3072.000000,3072.000000,3072.000000,53.348771,52.289361
3200.000000,3200.000000,3200.000000,50.441358,54.347825
3328.000000,3328.000000,3328.000000,49.482273,45.176471
3456.000000,3456.000000,3456.000000,47.159029,43.959799
3584.000000,3584.000000,3584.000000,43.568162,41.859845
3712.000000,3712.000000,3712.000000,41.541548,40.127238
3840.000000,3840.000000,3840.000000,40.111419,40.092805
3968.000000,3968.000000,3968.000000,37.717089,37.747954
4096.000000,4096.000000,4096.000000,37.292867,36.355028
