M,N,K,Triton,Torch
256.000000,256.000000,256.000000,2.730667,2.730667
384.000000,384.000000,384.000000,8.507077,10.053818
512.000000,512.000000,512.000000,16.384000,18.724571
640.000000,640.000000,640.000000,23.272727,30.117647
768.000000,768.000000,768.000000,28.539871,36.863999
896.000000,896.000000,896.000000,37.971025,45.320259
1024.000000,1024.000000,1024.000000,36.157792,33.825033
1152.000000,1152.000000,1152.000000,39.289265,42.656913
1280.000000,1280.000000,1280.000000,45.511110,59.362318
1408.000000,1408.000000,1408.000000,45.813245,38.392788
1536.000000,1536.000000,1536.000000,49.844280,45.668398
1664.000000,1664.000000,1664.000000,53.564953,58.434496
1792.000000,1792.000000,1792.000000,51.439010,55.917532
1920.000000,1920.000000,1920.000000,55.967614,60.631578
2048.000000,2048.000000,2048.000000,51.941848,58.457198
2176.000000,2176.000000,2176.000000,56.846465,64.088050
2304.000000,2304.000000,2304.000000,52.966457,60.629116
2432.000000,2432.000000,2432.000000,53.310179,59.021985
2560.000000,2560.000000,2560.000000,52.597108,63.627182
2688.000000,2688.000000,2688.000000,54.423322,71.571801
2816.000000,2816.000000,2816.000000,51.492572,60.157529
2944.000000,2944.000000,2944.000000,51.271637,57.647232
3072.000000,3072.000000,3072.000000,53.493720,59.229188
3200.000000,3200.000000,3200.000000,53.112034,54.329372
3328.000000,3328.000000,3328.000000,51.312400,57.501036
3456.000000,3456.000000,3456.000000,51.946888,52.936028
3584.000000,3584.000000,3584.000000,51.527445,53.906110
3712.000000,3712.000000,3712.000000,50.864227,46.356074
3840.000000,3840.000000,3840.000000,50.648953,47.937579
3968.000000,3968.000000,3968.000000,49.866749,49.542810
4096.000000,4096.000000,4096.000000,51.562707,50.495760
